"Table 226.40. SAT mean scores of high school seniors, standard deviations, and percentage of the graduating class taking the SAT, by state: 2017, 2018, and 2019
              ",,,,,,,,,,,,,,,,,,,,,
State,2017,,,,,,,2018,,,,,,,2019,,,,,,
Nevada ,1116,170,563,86,553,96,26,1140,172,574,86,566,98,23,1156,175,580,89,576,99,20
New Hampshire ,1052,198,532,102,520,107,96,1063,201,535,103,528,109,96,1059,202,533,103,526,110,95
New Jersey ,1056,187,530,96,526,102,70,1094,207,547,102,547,115,82,1090,216,544,106,545,119,82
New Mexico ,1138,186,577,97,561,101,11,1093,206,552,105,540,112,16,1073,204,543,105,530,109,18
New York ,1052,188,528,96,523,104,67,1068,205,534,102,534,114,79,1064,211,531,104,533,117,79
North Carolina ,1081,176,546,92,535,95,49,1098,183,554,93,543,100,52,1100,189,554,97,546,102,51
North Dakota ,1256,199,635,100,621,110,2,1283,178,640,91,643,100,2,1263,188,627,98,636,102,2
Ohio ,1149,212,578,108,570,114,12,1099,222,552,112,547,120,18,1097,222,550,111,548,120,19
Oklahoma ,1047,257,530,133,517,132,7,1062,238,541,121,521,126,8,963,209,490,110,472,109,22
Oregon ,1108,174,560,93,548,94,43,1117,180,564,94,553,98,48,1112,186,562,97,550,101,51
Pennsylvania ,1071,181,540,94,531,98,65,1086,188,547,95,539,104,70,1082,195,545,98,537,107,70
Rhode Island ,1062,190,539,99,524,102,71,1018,200,513,103,505,107,97,995,210,503,107,492,112,100
South Carolina ,1064,174,543,91,521,94,50,1070,178,547,92,523,98,55,1030,187,526,98,504,99,68
South Dakota ,1216,197,612,101,603,106,3,1241,205,622,103,618,116,3,1268,188,633,95,635,105,3
Tennessee ,1228,190,623,95,604,107,5,1231,192,624,93,607,110,6,1220,196,618,97,602,111,7
Texas ,1020,193,513,102,507,101,62,1032,197,520,102,512,105,66,1022,200,515,103,507,107,68
Utah ,1238,185,624,96,614,102,3,1230,191,618,95,612,108,4,1230,194,614,100,615,109,4
Vermont ,1114,173,562,92,551,95,60,1120,178,565,94,554,99,64,1106,180,560,95,546,99,66
Virginia ,1102,184,561,95,541,100,65,1117,189,567,95,550,105,68,1119,192,567,97,551,106,68
Washington ,1075,191,541,101,534,102,64,1081,201,543,104,538,108,69,1074,205,539,105,535,110,70
West Virginia ,1086,171,558,88,528,95,14,999,186,513,96,486,101,28,943,174,483,93,460,92,99
Wisconsin ,1291,178,642,95,649,98,3,1294,180,641,93,653,102,3,1283,188,635,99,648,105,3
Wyoming ,1230,176,626,90,604,98,3,1257,178,633,90,625,100,3,1238,186,623,97,615,101,3
"\1\Members of the graduating class of 2017, 2018, or 2019 who had taken the SAT as a percentage of all 2016-17, 2017-18, or 2018-19 high school graduates. State percentages were calculated by the College Entrance Examination Board based on the number of high school graduates in each state as projected by the Western Interstate Commission for Higher Education (WICHE). The total percentage for the United States was calculated by the National Center for Education Statistics (NCES) based on NCES projections of the total number of U.S. high school graduates.",,,,,,,,,,,,,,,,,,,,,
"NOTE: The SAT was completely redesigned in 2016. The new SAT was first administered in March of 2016. This table reflects 2017, 2018, and 2019 high school graduates who took the new SAT during high school. The data in this table do not factor in performance on the old SAT, and the data for 2017 set a new baseline for future year-to-year comparisons. If a student took the new SAT more than once, the most recent score on each section is used.",,,,,,,,,,,,,,,,,,,,,
"SOURCE: College Entrance Examination Board, SAT Suite of Assessments Annual Report, retrieved December 30, 2019, from https://research.collegeboard.org/programs/sat/data/2019-sat-suite-annual-report. (This table was prepared January 2020.)",,,,,,,,,,,,,,,,,,,,,
